Ranking,Profile,Followings,Followers,Description
1,Techaways Giveaways (@TechawaysTK),918,1295,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
2,CatalystFAM (@CATALYST_FAM),251,1025,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
3,Asaad Hussein (@asaad_h89),73,173,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
4,gl33tk | Geeky Tees &amp; 24/7 Trailers (@gl33tk),226,93,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
5,Sake Productions (@SakeProductions),44,53,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
6,Tino Space (@tino_space),113,27,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
