Ranking,Profile,Followings,Followers,Description
43,Alvaro Arzú Irigoyen (@arzu_alvaro),20018,249406,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
44,ElyRecinos (@ElyRecinos),453,244404,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
45,NosotrosJovenes™Gt (@TipicoNosotros),615,238130,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
46,Mario Benedetti™ (@BenedettiDijo),0,221328,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
47,Casa de Dios (@CasaDeDios),51,208358,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
48,PNC Tránsito (@DTransitoPNC),438,197306,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
49,Jimmy Morales (@jimmymoralesgt),992,196797,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
50,Otto Pérez Molina (@ottoperezmolina),89,192071,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
51,Tuti Furlán (@TutiFurlan),690,191763,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
52,Pamela Paz (@PamelaPaz_),593,191171,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
53,949 Radio (@949Radio),264,181696,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
54,Los Tres Ratones (@los3ratones),803,180841,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
55,GabyAsturias Oficial (@Gaby_Asturias),397,178264,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
56,Acción Poética™ (@LaPoeticaDice),10,158331,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
57,El Mejor Equipo (@EUDeportes),17,141733,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
58,Demente Textual (@DementeTextual),128,130973,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
