Ranking,Profile,Followings,Followers,Description
52,PauloLondra #ElAsperMaster23 (@PauIo_Londra),1,86015,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
53,Última Hora (@ultimahsv),1249,84880,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
54,Primera Plana (@primeraplana_sv),56109,79797,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
55,TucaFernandes (@TucaFernandes),742,79263,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
56,Neto Muyshondt (@emuyshondt),942,74255,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
57,LPGdeportes (@LPGdeportes),1489,72774,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
58,Buffalo Wings (@BWelsalvador),0,68172,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
59,Alianza Fútbol Club (@AlianzaFC_sv),91,67327,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
60,MOTA|Antonio Junior (@MotaAntonioJR),34346,67132,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
61,El Poder Latino (@Scan961),32,64584,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
62,Javier Simán (@JaviSiman),302,62823,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
63,ANDA (@ANDAElSalvador),500,60461,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
64,Carlos Calleja (@jccalleja),1729,59973,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
65,Roberto d'Aubuisson (@rdaubuisson),760,59216,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
66,GANAOFICIAL (@GANAOFICIAL),6512,55960,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
67,UCA El Salvador (@UCA_ES),45,55830,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
