Ranking,Profile,Followings,Followers,Description
62,Camilo Zúñiga (@camilozuniga18),113,1806464,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
63,♥ Frases para ellas (@LoQueEllasSaben),47,1768359,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
64,La Red Caracol (@LaRedCaracol),1662,1768275,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
65,TransMilenio (@TransMilenio),235,1766908,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
66,Deportes RCN (@DeportesRCN),481,1760209,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
67,Paisa (@PaisaVlogs),2462,1745688,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
68,Mariana Pajon (@marianapajon),133,1727299,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
69,Millonarios FC (@MillosFCoficial),53,1713496,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
70,Noticias Uno (@NoticiasUno),3710,1669212,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
71,Laura Acuña (@LauraAcuna),413,1666098,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
72,Julio Sanchez Cristo (@jsanchezcristo),21,1569154,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
73,Juanfer Quintero (@juanferquinte10),58,1567559,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
74,RevistaSoHo (@RevistaSoHo),135,1541889,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
75,Alcaldía de Bogotá (@Bogota),2518,1529844,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
76,El Desayuno (@ElDesayunoRCN),727,1521729,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
77,CLAUDIA BAHAMON (@CLAUDIABAHAMON),927,1520743,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
78,REYKON (@REYKON),149,1506445,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
79,PAOLA TURBAY (@paolaturbay),280,1506064,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
80,Santiago Cruz (@SantiCruz),718,1488304,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
81,Cine Colombia (@Cine_Colombia),1266,1486091,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
82,La Mega (@LaMega),166,1463831,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
83,Liga Deportiva (@ligapostobon),177,1445392,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
84,Santiago Arias (@santiagoarias13),169,1442882,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
85,Sergio Fajardo (@sergio_fajardo),342,1439542,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
86,Peter Manjarres (@PeterManjarres),982,1418644,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
87,carlos bacca (@carlos7bacca),317,1401962,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
88,Martín De Francisco (@MdeFrancisco12),557,1395583,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
89,Sara Corrales (@SaraCorraless),6973,1390945,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
