Ranking,Profile,Followings,Followers,Description
84,Amelia Vega (@AmeliaVega),145,224003,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
85,Albert Pujols (@PujolsFive),86,221942,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
86,Cheverenights (@Cheverenights),877,221462,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
87,Antena7oficial (@Antena7oficial),567,219530,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
88,Jenny Blanco (@jennyblanco29),628,215579,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
89,Pedro Martinez (@45PedroMartinez),407,214635,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
90,Yelitza Lora (@yelitzalora),882,214397,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
91,Makeup Hacks _ (@MakeupBibIe2),0,213787,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
92,Ana Carmen Leon (@AnaCarmenLeon),343,213196,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
93,Nahiony Reyes (@nahiony),485,212927,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
94,Techy Fatule (@TechyFatule),738,209565,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
95,DJ ZEUX (@djzeux),24563,208200,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
96,Toxic Crow (@ToxicCrow),869,208031,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
97,EL TORITO. (@ElTorito48),4402,207989,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
98,o ____ Cristian Hidalgo (@CristianHidaIgo),192720,205462,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
99,El Nuevo Diario (@elnuevodiariord),7652,201543,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
100,Luis Jos� Germ�n (@elgordogerman),66,199112,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
