Ranking,Profile,Followings,Followers,Description
1,Patrick Mendy ⭐️⭐️ (@Patlarea),461,349841,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
2,EU in The Gambia (@EUinTheGambia),424,8971,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
3,René Carayol MBE (@renecarayol),4006,7612,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
4,UK In The Gambia (@UKinGambia),215,2667,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
5,MRC Unit The Gambia at LSHTM (@mrcunitgambia),282,1840,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
6,Africell (@AfricellGambia),36,1363,"Periódico líder en Puerto Rico con enfoque en entretenimiento, deportes, y noticias desde un punto de vista boricua."
